# tiempo (s), tension (V)
0.000000000000000000e+00,-8.293487004244138872e-01
1.428571428571428527e-02,4.920875225479865445e-01
2.857142857142857054e-02,-6.413356699787917115e-02
4.285714285714285754e-02,-3.832200466074509593e-01
5.714285714285714107e-02,7.478177372438619130e-01
7.142857142857142461e-02,-9.712015118446973849e-01
8.571428571428571508e-02,9.951554028612027425e-01
9.999999999999999167e-02,-8.291841380090640978e-01
1.142857142857142821e-01,4.914292724808522195e-01
1.285714285714285587e-01,-6.413356699787917115e-02
1.428571428571428492e-01,-3.835491713797343216e-01
1.571428571428571397e-01,7.483114250504502296e-01
1.714285714285714302e-01,-9.708723869683323349e-01
1.857142857142857206e-01,9.951554028612027425e-01
1.999999999999999833e-01,-8.288550131784326869e-01
2.142857142857142738e-01,4.914292724808522195e-01
2.285714285714285643e-01,-6.347531737795414353e-02
2.428571428571428548e-01,-3.835491713797343216e-01
2.571428571428571175e-01,7.481468624481925067e-01
2.714285714285714080e-01,-9.710369494064997609e-01
2.857142857142856984e-01,9.948262774518298324e-01
2.999999999999999889e-01,-8.286904507631509542e-01
3.142857142857142794e-01,4.914292724808522195e-01
3.285714285714285698e-01,-6.347531737795414353e-02
3.428571428571428603e-01,-3.838782961520130765e-01
3.571428571428571508e-01,7.478177372438619130e-01
3.714285714285714413e-01,-9.712015118446973849e-01
3.857142857142856762e-01,9.949908401564787619e-01
3.999999999999999667e-01,-8.288550131784326869e-01
4.142857142857142572e-01,4.909355849310051978e-01
4.285714285714285476e-01,-6.298163016281857485e-02
4.428571428571428381e-01,-3.837137337658742542e-01
4.571428571428571286e-01,7.484759876527695699e-01
4.714285714285714191e-01,-9.710369494064997609e-01
4.857142857142857095e-01,9.951554028612027425e-01
5.000000000000000000e-01,-8.285258883478920922e-01
5.142857142857142350e-01,4.909355849310051978e-01
5.285714285714285809e-01,-6.265250535263675036e-02
5.428571428571428159e-01,-3.842074209242873351e-01
5.571428571428571619e-01,7.484759876527695699e-01
5.714285714285713969e-01,-9.718597615977905280e-01
5.857142857142857428e-01,9.951554028612027425e-01
5.999999999999999778e-01,-8.281967635174419806e-01
6.142857142857142128e-01,4.906064598980134916e-01
6.285714285714285587e-01,-6.281706775773682194e-02
6.428571428571427937e-01,-3.848656704688226404e-01
6.571428571428571397e-01,7.488051128575937687e-01
6.714285714285713746e-01,-9.718597615977905280e-01
6.857142857142857206e-01,9.948262774518298324e-01
6.999999999999999556e-01,-8.280322011022510642e-01
7.142857142857143016e-01,4.901127723488853394e-01
7.285714285714285365e-01,-6.215881813722660271e-02
7.428571428571428825e-01,-3.848656704688226404e-01
7.571428571428571175e-01,7.488051128575937687e-01
7.714285714285713524e-01,-9.715306367211832272e-01
7.857142857142856984e-01,9.944971520427564604e-01
7.999999999999999334e-01,-8.277030762719369550e-01
8.142857142857142794e-01,4.901127723488853394e-01
8.285714285714285143e-01,-6.199425573205324252e-02
8.428571428571428603e-01,-3.848656704688226404e-01
8.571428571428570953e-01,7.491342380626648811e-01
8.714285714285714413e-01,-9.713660742829252071e-01
8.857142857142856762e-01,9.949908401564787619e-01
9.000000000000000222e-01,-8.278676386870825743e-01
9.142857142857142572e-01,4.896190848001882867e-01
9.285714285714284921e-01,-6.166513092165142734e-02
9.428571428571428381e-01,-3.850302328549538022e-01
9.571428571428570731e-01,7.491342380626648811e-01
9.714285714285714191e-01,-9.715306367211832272e-01
9.857142857142856540e-01,9.948262774518298324e-01
# Medimos aliasing. Entrada = senoidal 2Vpp 100Hz
