# tiempo (s), tension (V)
0.000000000000000000e+00,1.001079660281228634e+00
2.127659574468085141e-03,1.000915097573802148e+00
4.255319148936170283e-03,-1.004114000105087445e+00
6.382978723404255858e-03,-1.004443124994051306e+00
8.510638297872340566e-03,-1.004443124994051306e+00
1.063829787234042527e-02,-1.004772249883143509e+00
1.276595744680851172e-02,-1.004443124994051306e+00
1.489361702127659642e-02,1.000750534866450714e+00
1.702127659574468113e-02,1.000750534866450714e+00
1.914893617021276584e-02,1.000915097573802148e+00
2.127659574468085055e-02,1.000915097573802148e+00
2.340425531914893525e-02,-1.003291187883238456e+00
2.553191489361702343e-02,-1.004607687438581420e+00
2.765957446808510814e-02,-1.004607687438581420e+00
2.978723404255319285e-02,-1.004772249883143509e+00
3.191489361702127409e-02,-1.004607687438581420e+00
3.404255319148936226e-02,1.000585972159174553e+00
3.617021276595745044e-02,1.001079660281228634e+00
3.829787234042553168e-02,1.000750534866450714e+00
4.042553191489361986e-02,1.000915097573802148e+00
4.255319148936170109e-02,1.000750534866450714e+00
4.468085106382978927e-02,-1.004607687438581420e+00
4.680851063829787051e-02,-1.004607687438581420e+00
4.893617021276595869e-02,-1.004443124994051306e+00
5.106382978723404686e-02,-1.004607687438581420e+00
5.319148936170212810e-02,9.982820942652018692e-01
5.531914893617021628e-02,1.000585972159174553e+00
5.744680851063829752e-02,1.000750534866450714e+00
5.957446808510638570e-02,1.000915097573802148e+00
6.170212765957446693e-02,1.000750534866450714e+00
6.382978723404254817e-02,-1.003784875216251704e+00
6.595744680851063635e-02,-1.004772249883143509e+00
6.808510638297872453e-02,-1.004772249883143509e+00
7.021276595744681270e-02,-1.004607687438581420e+00
7.234042553191490088e-02,-1.004443124994051306e+00
7.446808510638297518e-02,1.000915097573802148e+00
7.659574468085106336e-02,1.000915097573802148e+00
7.872340425531915153e-02,1.000915097573802148e+00
8.085106382978723971e-02,1.000585972159174553e+00
8.297872340425531401e-02,1.000750534866450714e+00
8.510638297872340219e-02,-1.004443124994051306e+00
8.723404255319149037e-02,-1.004443124994051306e+00
8.936170212765957854e-02,-1.004443124994051306e+00
9.148936170212766672e-02,-1.004443124994051306e+00
9.361702127659574102e-02,9.997631586239219548e-01
9.574468085106382920e-02,1.000750534866450714e+00
9.787234042553191737e-02,1.000915097573802148e+00
1.000000000000000056e-01,1.000915097573802148e+00
1.021276595744680937e-01,1.000915097573802148e+00
1.042553191489361680e-01,-1.004114000105087445e+00
1.063829787234042562e-01,-1.004772249883143509e+00
1.085106382978723444e-01,-1.004443124994051306e+00
1.106382978723404326e-01,-1.004772249883143509e+00
1.127659574468085069e-01,-1.004278562549553389e+00
1.148936170212765950e-01,1.000256846744848049e+00
1.170212765957446832e-01,1.000585972159174553e+00
1.191489361702127714e-01,1.000585972159174553e+00
1.212765957446808596e-01,1.000750534866450714e+00
1.234042553191489339e-01,-1.003291187883238456e+00
1.255319148936170359e-01,-1.004607687438581420e+00
1.276595744680850963e-01,-1.004936812327738016e+00
1.297872340425531845e-01,-1.004443124994051306e+00
1.319148936170212727e-01,-1.004607687438581420e+00
1.340425531914893609e-01,1.000421409451973664e+00
1.361702127659574491e-01,1.000915097573802148e+00
1.382978723404255372e-01,1.000585972159174553e+00
1.404255319148936254e-01,1.000915097573802148e+00
1.425531914893617136e-01,1.000585972159174553e+00
1.446808510638298018e-01,-1.004278562549553389e+00
1.468085106382978622e-01,-1.004443124994051306e+00
1.489361702127659504e-01,-1.004772249883143509e+00
1.510638297872340385e-01,-1.004443124994051306e+00
1.531914893617021267e-01,9.977884061469804999e-01
1.553191489361702149e-01,1.000915097573802148e+00
1.574468085106383031e-01,1.000750534866450714e+00
1.595744680851063912e-01,1.000585972159174553e+00
1.617021276595744794e-01,1.000750534866450714e+00
1.638297872340425676e-01,-1.004278562549553389e+00
1.659574468085106280e-01,-1.004772249883143509e+00
1.680851063829787162e-01,-1.004443124994051306e+00
1.702127659574468044e-01,-1.004607687438581420e+00
1.723404255319148926e-01,-1.004607687438581420e+00
1.744680851063829807e-01,1.000585972159174553e+00
1.765957446808510689e-01,1.000915097573802148e+00
1.787234042553191571e-01,1.000421409451973664e+00
1.808510638297872453e-01,1.000256846744848049e+00
1.829787234042553334e-01,1.000915097573802148e+00
1.851063829787233939e-01,-1.004607687438581420e+00
1.872340425531914820e-01,-1.004443124994051306e+00
1.893617021276595702e-01,-1.004607687438581420e+00
1.914893617021276584e-01,-1.004772249883143509e+00
1.936170212765957466e-01,9.999277213308220835e-01
1.957446808510638347e-01,1.000585972159174553e+00
1.978723404255319229e-01,1.000750534866450714e+00
