# tiempo (s), tension (V)
0.000000000000000000e+00,-3.410038258117614740e-03
8.333333333333333218e-03,8.727207706497053241e-01
1.666666666666666644e-02,8.740372718635602833e-01
2.500000000000000139e-02,-1.187900083539222829e-04
3.333333333333333287e-02,-8.759198649144668281e-01
4.166666666666666435e-02,-8.774009267147663271e-01
5.000000000000000278e-02,-3.410038258117614740e-03
5.833333333333333426e-02,8.725562079982811525e-01
6.666666666666666574e-02,8.740372718635602833e-01
7.499999999999999722e-02,-2.833524210472879168e-04
8.333333333333332871e-02,-8.757553024923374618e-01
9.166666666666666019e-02,-8.774009267147663271e-01
1.000000000000000056e-01,-3.245475845834108752e-03
1.083333333333333370e-01,8.725562079982811525e-01
1.166666666666666685e-01,8.738727092115887718e-01
1.250000000000000000e-01,-1.187900083539222829e-04
1.333333333333333315e-01,-8.759198649144668281e-01
1.416666666666666630e-01,-8.774009267147663271e-01
1.499999999999999944e-01,-3.410038258117614740e-03
1.583333333333333259e-01,8.725562079982811525e-01
1.666666666666666574e-01,8.738727092115887718e-01
1.749999999999999889e-01,-4.479148337190042017e-04
1.833333333333333204e-01,-8.762489897588011667e-01
1.916666666666666519e-01,-8.772363642924099203e-01
2.000000000000000111e-01,-2.751788608854610629e-03
2.083333333333333426e-01,8.725562079982811525e-01
2.166666666666666741e-01,8.738727092115887718e-01
2.250000000000000056e-01,-9.416020716043402294e-04
2.333333333333333370e-01,-8.759198649144668281e-01
2.416666666666666685e-01,-8.770718018700784935e-01
2.500000000000000000e-01,-2.587226196485083174e-03
2.583333333333333037e-01,8.728853333011977744e-01
2.666666666666666630e-01,8.733790212560854638e-01
2.750000000000000222e-01,-1.270726896753129886e-03
2.833333333333333259e-01,-8.762489897588011667e-01
2.916666666666666852e-01,-8.769072394477724908e-01
2.999999999999999889e-01,-2.258101371681441039e-03
3.083333333333333481e-01,8.728853333011977744e-01
3.166666666666666519e-01,8.735435839078514730e-01
3.250000000000000111e-01,-1.435289309295130489e-03
3.333333333333333148e-01,-8.767426770254919122e-01
3.416666666666666741e-01,-8.769072394477724908e-01
3.499999999999999778e-01,-2.093538959247305542e-03
3.583333333333333370e-01,8.728853333011977744e-01
3.666666666666666408e-01,8.732144586043878443e-01
3.750000000000000000e-01,-2.093538959247305542e-03
3.833333333333333037e-01,-8.770718018700784935e-01
3.916666666666666630e-01,-8.770718018700784935e-01
4.000000000000000222e-01,-1.928976546791610902e-03
4.083333333333333259e-01,8.730498959527586145e-01
4.166666666666666852e-01,8.733790212560854638e-01
4.249999999999999889e-01,-1.928976546791610902e-03
4.333333333333333481e-01,-8.769072394477724908e-01
4.416666666666666519e-01,-8.769072394477724908e-01
4.500000000000000111e-01,-1.599851721815537253e-03
4.583333333333333148e-01,8.735435839078514730e-01
4.666666666666666741e-01,8.730498959527586145e-01
4.749999999999999778e-01,-1.599851721815537253e-03
4.833333333333333370e-01,-8.769072394477724908e-01
4.916666666666666408e-01,-8.765781146032363136e-01
5.000000000000000000e-01,-1.270726896753129886e-03
5.083333333333333037e-01,8.733790212560854638e-01
5.166666666666666075e-01,8.728853333011977744e-01
5.250000000000000222e-01,-2.093538959247305542e-03
5.333333333333333259e-01,-8.769072394477724908e-01
5.416666666666666297e-01,-8.762489897588011667e-01
5.500000000000000444e-01,-1.106164484189535446e-03
5.583333333333333481e-01,8.733790212560854638e-01
5.666666666666666519e-01,8.728853333011977744e-01
5.749999999999999556e-01,-2.422663784094031270e-03
5.833333333333333703e-01,-8.769072394477724908e-01
5.916666666666666741e-01,-8.760844273366212853e-01
5.999999999999999778e-01,-9.416020716043402294e-04
6.083333333333332815e-01,8.735435839078514730e-01
6.166666666666666963e-01,8.727207706497053241e-01
6.250000000000000000e-01,-2.916351021202620575e-03
6.333333333333333037e-01,-8.772363642924099203e-01
6.416666666666666075e-01,-8.762489897588011667e-01
6.500000000000000222e-01,-7.770396589975234192e-04
6.583333333333333259e-01,8.737081465596860941e-01
6.666666666666666297e-01,8.730498959527586145e-01
6.750000000000000444e-01,-2.916351021202620575e-03
6.833333333333333481e-01,-8.770718018700784935e-01
6.916666666666666519e-01,-8.759198649144668281e-01
6.999999999999999556e-01,-6.124772463690850155e-04
7.083333333333333703e-01,8.738727092115887718e-01
7.166666666666666741e-01,8.725562079982811525e-01
7.249999999999999778e-01,-3.410038258117614740e-03
7.333333333333332815e-01,-8.774009267147663271e-01
7.416666666666666963e-01,-8.757553024923374618e-01
7.500000000000000000e-01,-2.833524210472879168e-04
7.583333333333333037e-01,8.740372718635602833e-01
7.666666666666666075e-01,8.727207706497053241e-01
7.750000000000000222e-01,-3.410038258117614740e-03
7.833333333333333259e-01,-8.775654891371481581e-01
7.916666666666666297e-01,-8.757553024923374618e-01
8.000000000000000444e-01,4.577240436110657784e-05
8.083333333333333481e-01,8.738727092115887718e-01
8.166666666666666519e-01,8.723916453469252597e-01
8.249999999999999556e-01,-3.245475845834108752e-03
8.333333333333333703e-01,-8.777300515595551911e-01
8.416666666666666741e-01,-8.757553024923374618e-01
8.499999999999999778e-01,4.577240436110657784e-05
8.583333333333332815e-01,8.742018345155999626e-01
8.666666666666666963e-01,8.722270826956378675e-01
8.750000000000000000e-01,-3.410038258117614740e-03
8.833333333333333037e-01,-8.774009267147663271e-01
8.916666666666666075e-01,-8.755907400702331866e-01
9.000000000000000222e-01,3.748972298561817351e-04
9.083333333333333259e-01,8.742018345155999626e-01
9.166666666666666297e-01,8.718979573932681415e-01
9.249999999999999334e-01,-4.232850319213041224e-03
9.333333333333333481e-01,-8.777300515595551911e-01
9.416666666666666519e-01,-8.755907400702331866e-01
9.499999999999999556e-01,5.394596426362349706e-04
9.583333333333333703e-01,8.742018345155999626e-01
9.666666666666666741e-01,8.722270826956378675e-01
9.749999999999999778e-01,-4.232850319213041224e-03
9.833333333333332815e-01,-8.782237388269286127e-01
9.916666666666666963e-01,-8.755907400702331866e-01
# Medimos aliasing. Entrada = senoidal 2Vpp 100Hz. Variando frecuencia de sampleo de a 10 Hz entre 10 Hz y 300 Hz.
